cron_id,cron_name,type,status,created,modified
1,"curated Album",2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
2,"curated Song",2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
3,"curated Video",2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
4,"curated playlists",2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
5,"curated categories",2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
6,"curated audiobooks",2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
7,"curated artists",2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
8,TrendingCheckAlbumRights,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
9,TrendingCheckAudiobooksRights,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
10,TrendingCheckPlaylistRights,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
11,TrendingCheckSongsRights,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
12,TrendingCheckVideosRights,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
13,update_curated_artists,3,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
14,lib_playlist_creation,3,0,"2020-09-24 15:33:30","2020-09-24 10:41:30"
15,MissingUnreachableReset,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
16,TrendingCrons,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
17,trending,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
18,clearLibraryRedisCache,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
19,updateLibraryDownloads,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
20,deleteAccessToken,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
21,updateLibraryStatus,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
22,updateLibraryStreamingStatus,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
23,deleteLibraryDownloads,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
24,ArtistDetailCheck,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
25,berlin_correct_patronid,0,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
26,execute_cron_from_console,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
27,update_fully_explicit_field_in_album,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
28,update_album_explicit,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
29,FreegalPlaylistCheckDaily,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
30,delete_latest_tables_old_records_us,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
31,fmusic_loginautomation,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
32,freading_loginautomation,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
33,salesforce_music_downloads,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
34,salesforce_music_streams,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
35,salesforce_book_downloads,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
36,salesforce_obc_book_downloads,0,0,"2020-09-24 15:33:30","2020-09-24 10:41:30"
37,update_download_patrons_genres,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
38,library_cancellation_report,0,0,"2020-09-24 15:33:30","2020-09-24 10:41:30"
39,library_renewal_report,0,0,"2020-09-24 15:33:30","2020-09-24 10:41:30"
40,contract_verification,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
41,sync_latest_download_songs,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
42,sync_latest_download_videos,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
43,sync_recently_played_playlists_data,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
44,sync_wishlists_video_data,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
45,orchard_quarterly_report,0,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
46,oq_test,0,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
47,orchard_quarterly_report_auto,4,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
48,sony_quarterly_report_auto,4,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
49,sq_test,0,0,"2020-09-24 15:33:30","2020-09-24 10:41:30"
50,sony_quarterly_report,0,0,"2020-09-24 15:33:30","2020-09-24 10:41:30"
51,prod_sony_report,4,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
52,new_books,4,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
53,new_videos,4,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
54,SonySubscriber_test,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
55,SonySubscriberReport,4,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
56,SonySubscriberRevisedReport,4,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
57,SonySubscriberRevisedReport_All,4,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
58,berlin_correct_patronid,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
59,lib_playlist_creation,3,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
60,artist_availiability_search_territories,3,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
61,admin_report_first_day,4,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
62,admin_report_last_day,4,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
63,admin_report_daily,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
64,month_sony_stream_report,4,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
65,month_sony_dl_report,4,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
66,month_sony_sfv_report,4,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
67,month_orchard_dl_report,4,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
68,freading_UpdateBillingType,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
69,freading_switchDepositLibraries,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
70,demoAccountsReset,2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
71,"curated Album",2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
72,"curated Video",2,1,"2020-09-24 15:33:30","2020-09-24 10:41:30"
73,SonySubscriber_test,2,0,"2020-09-24 15:33:30","2020-09-24 10:41:30"
